JOBID,PROJECT_NAME,JOB_NAME,TARGET_OBJECT_NAME
3532,RESERVATION,SUPP_EDW.SUPP.5.Load_Strategic_Price_Control_Supp,STG_P.RES_SUPP.TBL_STRATEGIC_PRICE_CONTROL
3533,RESERVATION,SUPP_EDW.SUPP.55.Load_Sailing_Master_Supp,STG_P.RES_SUPP.SAILING_MASTER_SUPP
3533,RESERVATION,SUPP_EDW.SUPP.55.Load_Sailing_Master_Supp,ODS_P_BUSINESS_SUPPORT.RES_SUPP.SAILING_MASTER_SOURCE_SUPP
3533,RESERVATION,SUPP_EDW.SUPP.55.Load_Sailing_Master_Supp,ODS_P_BUSINESS_SUPPORT.RES_SUPP.META_CATEGORY_SUPP
3533,RESERVATION,SUPP_EDW.SUPP.55.Load_Sailing_Master_Supp,$G_ALL_FILE_NAM
3549,RESERVATION,SUPP_EDW.SUPP.61.Load_Port_Substitution_Supp,STG_P.MKT_SUPP.PORT_SUBSTITUTION_SUPP
3551,RESERVATION,SUPP_EDW.SUPP.65.Load_Super_Price_Programs_Supp,STG_P.RES_SUPP.SUPER_PRICE_PROGRAMS_SUPP
3553,RESERVATION,SUPP_EDW.SUPP.7.Load_Meta_Price_Programs_Supp,STG_P.RES_SUPP.META_PRICE_PROGRAMS_SUPP
3555,RESERVATION,SUPP_EDW.SUPP.75.Load_Product_Codes_Supp,STG_P.RES_SUPP.PRODUCT_CODES_SUPP
3557,RESERVATION,SUPP_EDW.SUPP.8.Load_Rollup_Product_Codes_Supp,STG_P.RES_SUPP.ROLLUP_PRODUCT_CODES_SUPP
3559,RESERVATION,SUPP_EDW.SUPP.85.Load_Revenue_Breakout_Supp,STG_P.RES_SUPP.REVENUE_BREAKOUT_SUPP
3561,RESERVATION,SUPP_EDW.SUPP.85.Load_SL_Product_Codes_Supp,STG_P.RES_SUPP.SL_PRODUCT_CODES_SUPP
3563,RESERVATION,SUPP_EDW.SUPP.9.Load_Amenity_Details_Supp,ODS_P_BUSINESS_SUPPORT. RES_APP.AMENITY_DETAILS_SUPP
3565,RESERVATION,SUPP_EDW.SUPP.9.Load_SL_Rollup_Product_Codes_Supp,STG_P.RES_SUPP.SL_ROLLUP_PRODUCT_CODES_SUPP
3567,RESERVATION,SUPP_EDW.SUPP.92.Load_Amenity_Inv_Item_Type_Supp,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
3569,RESERVATION,SUPP_EDW.SUPP.925.Load_Invoice_Item_Type_Supp,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
3572,RESERVATION,SUPP_EDW.SUPP.93.Load_CMI_Supp,STG_P.RES_SUPP.CMI_SUPP
3575,RESERVATION,SUPP_EDW.SUPP.94.Load_Fin_Planned_Capacity_Supp,STG_P.FIN_SUPP.FIN_PLANNED_CAPACITY_SUPP
3578,RESERVATION,SUPP_EDW.SUPP.945.Load_3rd_Party_Commission_Supp,STG_P.RES_SUPP.THIRD_PARTY_COMMISSION_SUPP
3583,RESERVATION,SUPP_EDW.SUPP_R1.0010.Load_Sailing_Master_Supp,ODS_P_BUSINESS_SUPPORT.RES_SUPP.SAILING_MASTER_SOURCE_SUPP
3583,RESERVATION,SUPP_EDW.SUPP_R1.0010.Load_Sailing_Master_Supp,STG_P.RES_SUPP.SAILING_MASTER_SUPP
3583,RESERVATION,SUPP_EDW.SUPP_R1.0010.Load_Sailing_Master_Supp,$G_ALL_FILE_NAM
3583,RESERVATION,SUPP_EDW.SUPP_R1.0010.Load_Sailing_Master_Supp,ODS_P_BUSINESS_SUPPORT.RES_SUPP.META_CATEGORY_SUPP
3598,RESERVATION,SUPP_EDW.SUPP_R2.0010.Load_Sailing_Master_Supp,ODS_P_BUSINESS_SUPPORT.RES_SUPP.SAILING_MASTER_SOURCE_SUPP
3598,RESERVATION,SUPP_EDW.SUPP_R2.0010.Load_Sailing_Master_Supp,$G_ALL_FILE_NAM
3598,RESERVATION,SUPP_EDW.SUPP_R2.0010.Load_Sailing_Master_Supp,ODS_P_BUSINESS_SUPPORT.RES_SUPP.META_CATEGORY_SUPP
3598,RESERVATION,SUPP_EDW.SUPP_R2.0010.Load_Sailing_Master_Supp,STG_P.RES_SUPP.SAILING_MASTER_SUPP
